ano,disciplina,raca_cor,value,presenca,cont_presenca,nota,cont_nota
2012,CH,Indígena,F,-,0,Abaixo de 400,3139
2012,CH,Parda,*,-,0,Sem nota,681564
2012,CH,Parda,A,Falta,679990,Acima de 800,150
2012,CH,Parda,B,Presença,1718715,Entre 800 e 700,17513
2012,CH,Parda,C,Eliminação,1574,Entre 700 e 600,205252
2012,CH,Parda,D,-,0,Entre 600 e 500,720927
2012,CH,Parda,E,-,0,Entre 500 e 400,610392
2012,CH,Parda,F,-,0,Abaixo de 400,164481
2012,CH,Preta,*,-,0,Sem nota,208189
2012,CH,Preta,A,Falta,207662,Acima de 800,34
2012,CH,Preta,B,Presença,485932,Entre 800 e 700,4078
2012,CH,Preta,C,Eliminação,527,Entre 700 e 600,60581
2012,CH,Preta,D,-,0,Entre 600 e 500,214869
2012,CH,Preta,E,-,0,Entre 500 e 400,164445
2012,CH,Preta,F,-,0,Abaixo de 400,41925
2012,CN,Amarela,*,-,0,Sem nota,34458
2012,CN,Amarela,A,Falta,34365,Acima de 800,11
2012,CN,Amarela,B,Presença,97862,Entre 800 e 700,1009
2012,CN,Amarela,C,Eliminação,93,Entre 700 e 600,7706
2012,CN,Amarela,D,-,0,Entre 600 e 500,26347
2012,CN,Amarela,E,-,0,Entre 500 e 400,44599
2012,CN,Amarela,F,-,0,Abaixo de 400,18190
2012,CN,Branca,*,-,0,Sem nota,605176
2012,CN,Branca,A,Falta,603788,Acima de 800,191
2012,CN,Branca,B,Presença,1816196,Entre 800 e 700,15866
2012,CN,Branca,C,Eliminação,1388,Entre 700 e 600,167213
2012,CN,Branca,D,-,0,Entre 600 e 500,586725
2012,CN,Branca,E,-,0,Entre 500 e 400,773775
2012,CN,Branca,F,-,0,Abaixo de 400,272426
2012,CN,Indígena,*,-,0,Sem nota,10797
2012,CN,Indígena,A,Falta,10764,Acima de 800,0
2012,CN,Indígena,B,Presença,24959,Entre 800 e 700,34
2012,CN,Indígena,C,Eliminação,33,Entre 700 e 600,533
2012,CN,Indígena,D,-,0,Entre 600 e 500,4481
2012,CN,Indígena,E,-,0,Entre 500 e 400,12756
2012,CN,Indígena,F,-,0,Abaixo de 400,7155
2012,CN,Parda,*,-,0,Sem nota,681564
2012,CN,Parda,A,Falta,679990,Acima de 800,44
2012,CN,Parda,B,Presença,1718715,Entre 800 e 700,4432
2012,CN,Parda,C,Eliminação,1574,Entre 700 e 600,61291
2012,CN,Parda,D,-,0,Entre 600 e 500,391307
2012,CN,Parda,E,-,0,Entre 500 e 400,859261
2012,CN,Parda,F,-,0,Abaixo de 400,402380
2012,CN,Preta,*,-,0,Sem nota,208189
2012,CN,Preta,A,Falta,207662,Acima de 800,15
2012,CN,Preta,B,Presença,485932,Entre 800 e 700,661
2012,CN,Preta,C,Eliminação,527,Entre 700 e 600,14082
2012,CN,Preta,D,-,0,Entre 600 e 500,112685
2012,CN,Preta,E,-,0,Entre 500 e 400,246383
2012,CN,Preta,F,-,0,Abaixo de 400,112106
2012,LP,Amarela,*,-,0,Sem nota,37219
2012,LP,Amarela,A,Falta,37152,Acima de 800,0
2012,LP,Amarela,B,Presença,95101,Entre 800 e 700,146
2012,LP,Amarela,C,Eliminação,67,Entre 700 e 600,6617
2012,LP,Amarela,D,-,0,Entre 600 e 500,40266
2012,LP,Amarela,E,-,0,Entre 500 e 400,38897
2012,LP,Amarela,F,-,0,Abaixo de 400,9175
2012,LP,Branca,*,-,0,Sem nota,655349
2012,LP,Branca,A,Falta,654370,Acima de 800,6
2012,LP,Branca,B,Presença,1766023,Entre 800 e 700,3592
2012,LP,Branca,C,Eliminação,979,Entre 700 e 600,171468
2012,LP,Branca,D,-,0,Entre 600 e 500,821188
2012,LP,Branca,E,-,0,Entre 500 e 400,630069
2012,LP,Branca,F,-,0,Abaixo de 400,139700
2012,LP,Indígena,*,-,0,Sem nota,11789
2012,LP,Indígena,A,Falta,11764,Acima de 800,0
2012,LP,Indígena,B,Presença,23967,Entre 800 e 700,11
2012,LP,Indígena,C,Eliminação,25,Entre 700 e 600,621
2012,LP,Indígena,D,-,0,Entre 600 e 500,7030
2012,LP,Indígena,E,-,0,Entre 500 e 400,12017
2012,LP,Indígena,F,-,0,Abaixo de 400,4288
2012,LP,Parda,*,-,0,Sem nota,734435
2012,LP,Parda,A,Falta,733246,Acima de 800,2
2012,LP,Parda,B,Presença,1665844,Entre 800 e 700,1201
2012,LP,Parda,C,Eliminação,1189,Entre 700 e 600,73730
2012,LP,Parda,D,-,0,Entre 600 e 500,603775
2012,LP,Parda,E,-,0,Entre 500 e 400,759510
2012,LP,Parda,F,-,0,Abaixo de 400,227626
2012,LP,Preta,*,-,0,Sem nota,223880
2012,LP,Preta,A,Falta,223466,Acima de 800,0
2012,LP,Preta,B,Presença,470241,Entre 800 e 700,212
2012,LP,Preta,C,Eliminação,414,Entre 700 e 600,19191
2012,LP,Preta,D,-,0,Entre 600 e 500,177185
2012,LP,Preta,E,-,0,Entre 500 e 400,212228
2012,LP,Preta,F,-,0,Abaixo de 400,61425
2012,MT,Amarela,*,-,0,Sem nota,37219
2012,MT,Amarela,A,Falta,37152,Acima de 800,2150
2012,MT,Amarela,B,Presença,95101,Entre 800 e 700,6899
2012,MT,Amarela,C,Eliminação,67,Entre 700 e 600,16103
2012,MT,Amarela,D,-,0,Entre 600 e 500,25614
2012,MT,Amarela,E,-,0,Entre 500 e 400,25694
2012,MT,Amarela,F,-,0,Abaixo de 400,18641
2012,MT,Branca,*,-,0,Sem nota,655349
2012,MT,Branca,A,Falta,654370,Acima de 800,34590
2012,MT,Branca,B,Presença,1766023,Entre 800 e 700,148191
2012,MT,Branca,C,Eliminação,979,Entre 700 e 600,380290
2012,MT,Branca,D,-,0,Entre 600 e 500,504608
2012,MT,Branca,E,-,0,Entre 500 e 400,418648
2012,MT,Branca,F,-,0,Abaixo de 400,279696
2012,MT,Indígena,*,-,0,Sem nota,11789
2012,MT,Indígena,A,Falta,11764,Acima de 800,68
2012,MT,Indígena,B,Presença,23967,Entre 800 e 700,489
2012,MT,Indígena,C,Eliminação,25,Entre 700 e 600,2312
2012,MT,Indígena,D,-,0,Entre 600 e 500,5567
2012,MT,Indígena,E,-,0,Entre 500 e 400,7731
2012,MT,Indígena,F,-,0,Abaixo de 400,7800
2012,MT,Parda,*,-,0,Sem nota,734435
2012,MT,Parda,A,Falta,733246,Acima de 800,9337
2012,MT,Parda,B,Presença,1665844,Entre 800 e 700,54108
2012,MT,Parda,C,Eliminação,1189,Entre 700 e 600,213281
2012,MT,Parda,D,-,0,Entre 600 e 500,433827
2012,MT,Parda,E,-,0,Entre 500 e 400,515080
2012,MT,Parda,F,-,0,Abaixo de 400,440211
2012,MT,Preta,*,-,0,Sem nota,223880
2012,MT,Preta,A,Falta,223466,Acima de 800,1616
2012,MT,Preta,B,Presença,470241,Entre 800 e 700,12108
2012,MT,Preta,C,Eliminação,414,Entre 700 e 600,57228
2012,MT,Preta,D,-,0,Entre 600 e 500,125479
2012,MT,Preta,E,-,0,Entre 500 e 400,146406
2012,MT,Preta,F,-,0,Abaixo de 400,127404
2013,CH,Amarela,*,-,0,Sem nota,41677
2013,CH,Amarela,A,Falta,41581,Acima de 800,49
2013,CH,Amarela,B,Presença,117926,Entre 800 e 700,2004
2013,CH,Amarela,C,Eliminação,123,Entre 700 e 600,17744
2013,CH,Amarela,D,-,0,Entre 600 e 500,50049
2013,CH,Amarela,E,-,0,Entre 500 e 400,39685
2013,CH,Amarela,F,-,0,Abaixo de 400,8422
2013,CH,Branca,*,-,0,Sem nota,737419
2013,CH,Branca,A,Falta,735968,Acima de 800,1435
2013,CH,Branca,B,Presença,2099241,Entre 800 e 700,55849
2013,CH,Branca,C,Eliminação,1887,Entre 700 e 600,413585
2013,CH,Branca,D,-,0,Entre 600 e 500,900577
2013,CH,Branca,E,-,0,Entre 500 e 400,609333
2013,CH,Branca,F,-,0,Abaixo de 400,118898
2013,CH,Indígena,*,-,0,Sem nota,13789
2013,CH,Indígena,A,Falta,13742,Acima de 800,1
2013,CH,Indígena,B,Presença,32766,Entre 800 e 700,208
2013,CH,Indígena,C,Eliminação,56,Entre 700 e 600,2632
2013,CH,Indígena,D,-,0,Entre 600 e 500,11492
2013,CH,Indígena,E,-,0,Entre 500 e 400,14391
2013,CH,Indígena,F,-,0,Abaixo de 400,4051
2013,CH,Parda,*,-,0,Sem nota,873541
2013,CH,Parda,A,Falta,871593,Acima de 800,621
2013,CH,Parda,B,Presença,2240451,Entre 800 e 700,25415
2013,CH,Parda,C,Eliminação,2472,Entre 700 e 600,275075
2013,CH,Parda,D,-,0,Entre 600 e 500,883287
2013,CH,Parda,E,-,0,Entre 500 e 400,847394
2013,CH,Parda,F,-,0,Abaixo de 400,209183
2013,CH,Preta,*,-,0,Sem nota,266982
2013,CH,Preta,A,Falta,266416,Acima de 800,136
2013,CH,Preta,B,Presença,624735,Entre 800 e 700,6169
2013,CH,Preta,C,Eliminação,715,Entre 700 e 600,81667
2013,CH,Preta,D,-,0,Entre 600 e 500,254726
2013,CH,Preta,E,-,0,Entre 500 e 400,228562
2013,CH,Preta,F,-,0,Abaixo de 400,53624
2013,CN,Amarela,*,-,0,Sem nota,41677
2013,CN,Amarela,A,Falta,41581,Acima de 800,24
2013,CN,Amarela,B,Presença,117926,Entre 800 e 700,1240
2013,CN,Amarela,C,Eliminação,123,Entre 700 e 600,6739
2013,CN,Amarela,D,-,0,Entre 600 e 500,28488
2013,CN,Amarela,E,-,0,Entre 500 e 400,61976
